Img_X,Img_Y,Polygon_index,Class (1-4)
502,416,2044,1
562,443,2147,1
881,373,1825,1
955,430,2111,1
83,432,2101,1
982,589,2822,1
168,637,3032,1
125,241,1105,1
590,490,2372,1
592,566,2714,1
428,568,2735,2
735,344,1649,2
357,585,2797,2
362,629,3012,2
450,154,699,3
536,22,30,3
246,552,2657,3
440,225,1095,3
209,374,1816,3
286,450,2189,3
309,520,2520,3
298,552,2664,3
203,408,1994,3
329,439,2129,3
414,501,2433,3
708,224,1034,3
285,446,2189,3
189,253,1178,3
763,396,1977,3
604,478,2316,3
270,390,1915,3
613,145,663,4
682,272,1311,4
447,182,851,4
288,147,678,4
350,549,2665,4
242,404,1980,4
55,317,1512,4
331,259,1206,4
55,318,1512,4
110,59,242,4
435,111,524,4
776,395,1951,4
623,491,2389,4
529,516,2489,4
379,425,2064,4
